,REPORTED_TERM,DESC_CODED,LLT_NAME_COMPL,PT_NAME_COMPL,HLT_NAME_COMPL,HLGT_NAME_COMPL,SOC_CODE,INC_CODE_J,ART_CODE,INC_CODE
551,INSUFFICIENT RESPONSE TO PREDNISOLONE AND RITUXIMAB,Partial responder to therapy,PARTIAL RESPONDER TO THERAPY,THERAPY PARTIAL RESPONDER,THERAPEUTIC AND NONTHERAPEUTIC RESPONSES,THERAPEUTIC AND NONTHERAPEUTIC EFFECTS (EXCL TOXICITY),10018065,10066429,10078115,10066429
633,NORMOCYTIC ANEMIA,normocytic anemia,NORMOCYTIC ANEMIA,NORMOCYTIC ANAEMIA,ANAEMIAS NEC,ANAEMIAS NONHAEMOLYTIC AND MARROW DEPRESSION,10005329,10029785,10029784,10029785
673,DRUG USE FOR UNAPPROVED INDICATION,Drug use for unapproved indication,DRUG USE FOR UNAPPROVED INDICATION,PRODUCT USE IN UNAPPROVED INDICATION,"MEDICATION ERRORS, PRODUCT USE ERRORS AND ISSUES NEC",MEDICATION ERRORS AND OTHER PRODUCT USE ERRORS AND ISSUES,10022117,10053746,10076476,10053746
702,SELFLIMITING DIARRHEA PROBABLY DUE TO EXPOSURE TO SERTRALINE IN BREAST MILK,Exposure via breast milk,DRUG EXPOSURE VIA BREAST MILK,EXPOSURE VIA BREAST MILK,PATHWAYS AND SOURCES OF EXPOSURE,"EXPOSURES, CHEMICAL INJURIES AND POISONING",10022117,10051075,10080751,10051075
745,HEMORRHAGIC PNEUMONIA WITH HYPOXIA,Haemorrhagic pneumonia,HEMORRHAGIC PNEUMONIA,HAEMORRHAGIC PNEUMONIA,LOWER RESPIRATORY TRACT AND LUNG INFECTIONS,INFECTIONS - PATHOGEN UNSPECIFIED,10021881,10077933,10077933,10077935
771,CARDIAC FUNCTION DETERIORATION,Cardiac dysfunction,CARDIAC DYSFUNCTION,CARDIAC DYSFUNCTION,CARDIAC DISORDERS NEC,CARDIAC DISORDER SIGNS AND SYMPTOMS,10007541,10079751,10079751,10079751
864,DRUG EXPOSURE DURING BREAST FEEDING,Drug exposure via breast milk ,DRUG EXPOSURE VIA BREAST MILK,EXPOSURE VIA BREAST MILK,PATHWAYS AND SOURCES OF EXPOSURE,"EXPOSURES, CHEMICAL INJURIES AND POISONING",10022117,10051075,10080751,10051075
996,MULTIPLE ORGAN DYSFUNCTION,Multiple organ failure,MULTIPLE ORGAN FAILURE,MULTIPLE ORGAN DYSFUNCTION SYNDROME,GENERAL SIGNS AND SYMPTOMS NEC,GENERAL SYSTEM DISORDERS NEC,10018065,10028237,10077361,10028237
1007,VACCINE CONTRAINDICATED FOR USE IN SCID PATIENTS,Contraindicated drug prescribed,CONTRAINDICATED DRUG PRESCRIBED,CONTRAINDICATED DRUG PRESCRIBED,PRODUCT PRESCRIBING ERRORS AND ISSUES,MEDICATION ERRORS AND OTHER PRODUCT USE ERRORS AND ISSUES,10022117,10078779,10078779,10078779
1010,OESOPHAGEAL SUBMUCOSAL HAEMATOMA,Oesophageal intramural haematoma,OESOPHAGEAL INTRAMURAL HAEMATOMA,OESOPHAGEAL INTRAMURAL HAEMATOMA,GASTRIC AND OESOPHAGEAL HAEMORRHAGES,GASTROINTESTINAL HAEMORRHAGES NEC,10017947,10077486,10077486,10077486
1032,LATE HYPOXIC CARDIAC ARREST SECONDARY TO CRITICAL ILLNESS POLYNEUROMYOPATHY,critical illness polyneuromyopathy,CRITICAL ILLNESS POLYNEUROMYOPATHY,INTENSIVE CARE UNIT ACQUIRED WEAKNESS,ACUTE POLYNEUROPATHIES,PERIPHERAL NEUROPATHIES,10029205,10078315,10077255,10078315
1043,DRUG CROSS-REACTIVITY,Drug cross-reactivity,DRUG CROSS-REACTIVITY,THERAPEUTIC PRODUCT CROSS-REACTIVITY,"ALLERGIES TO FOODS, FOOD ADDITIVES, DRUGS AND OTHER CHEMICALS",ALLERGIC CONDITIONS,10021428,10076743,10079645,10076743
1111,MULTIPLE ORGAN FAILURE,Multiple organ dysfunction syndrome,MULTIPLE ORGAN FAILURE,MULTIPLE ORGAN DYSFUNCTION SYNDROME,GENERAL SIGNS AND SYMPTOMS NEC,GENERAL SYSTEM DISORDERS NEC,10018065,10028154,10077361,10028237
1150,HIV-1 PERSISTENT VIREMIA FOLLOWING EFAVIRENZ RESISTANCE,HIV viraemia,HIV VIREMIA,HIV VIRAEMIA,RETROVIRAL INFECTIONS,VIRAL INFECTIOUS DISORDERS,10021881,10077716,10077716,10077718
1172,FINALLY. IN COMPLETE CESSATION ON THE FIFTH DAY,Drug effective for unapproved indication,DRUG EFFECTIVE FOR UNAPPROVED INDICATION,DRUG EFFECTIVE FOR UNAPPROVED INDICATION,THERAPEUTIC AND NONTHERAPEUTIC RESPONSES,THERAPEUTIC AND NONTHERAPEUTIC EFFECTS (EXCL TOXICITY),10018065,10079317,10079317,10079317
1197,PERIORAL FURROWING,Dermatitis perioral,DERMATITIS PERIORAL,PERIORAL DERMATITIS,DERMATITIS AND ECZEMA,EPIDERMAL AND DERMAL CONDITIONS,10040785,10012484,10034541,10012484
1227,"BLUE-GRAY PIGMENTATION ON POSTERIOR AXILLARY FOLDS, ORAL MUCOSA AND HARD PALATE",palatal pigmentation,PALATAL PIGMENTATION,ORAL PIGMENTATION,ORAL SOFT TISSUE SIGNS AND SYMPTOMS,ORAL SOFT TISSUE CONDITIONS,10017947,10077553,10077552,10077553
1267,OUR TEAM MADE A PLAN TO START A TRIAL OF LOW-DOSE LEVODOPA-CARBIDOPA FOR IMPROVEMENT OF HER MOVEMENT DISORDER,Product use in unapproved indication,DRUG USE FOR UNAPPROVED INDICATION,PRODUCT USE IN UNAPPROVED INDICATION,"MEDICATION ERRORS, PRODUCT USE ERRORS AND ISSUES NEC",MEDICATION ERRORS AND OTHER PRODUCT USE ERRORS AND ISSUES,10022117,10053746,10076476,10053746
1274,PREDNISONE USED IN KIDNEY TRANSPLANT,Product use in unapproved indication,PRODUCT USE IN UNAPPROVED INDICATION,PRODUCT USE IN UNAPPROVED INDICATION,"MEDICATION ERRORS, PRODUCT USE ERRORS AND ISSUES NEC",MEDICATION ERRORS AND OTHER PRODUCT USE ERRORS AND ISSUES,10022117,10076476,10076476,10076476
1283,MULTIORGAN FAILURE FOLLOWING WORSENING OF KLEBSIELLA PNEUMONIAE INFECTION,Multiple organ dysfunction syndrome,MULTIORGAN FAILURE,MULTIPLE ORGAN DYSFUNCTION SYNDROME,GENERAL SIGNS AND SYMPTOMS NEC,GENERAL SYSTEM DISORDERS NEC,10018065,10028154,10077361,10028162
1295,ARIPIPRAZOLE AND RISPERIDONE USED FOR TREATMENT OF DISORDER INTERFERING WITH DEVELOPMENT,drug use for unapproved indication,DRUG USE FOR UNAPPROVED INDICATION,PRODUCT USE IN UNAPPROVED INDICATION,"MEDICATION ERRORS, PRODUCT USE ERRORS AND ISSUES NEC",MEDICATION ERRORS AND OTHER PRODUCT USE ERRORS AND ISSUES,10022117,10053746,10076476,10053746
1306,GAMBLING ADDICTION/COMPULSION FOR GAMBLING,Gambling disorder,GAMBLING ADDICTION,GAMBLING DISORDER,SUBSTANCE RELATED AND ADDICTIVE DISORDERS,PSYCHIATRIC DISORDERS NEC,10037175,10017656,10078070,10017656
1359,IMATINIB FOR SLERODERMATOUS CGVHD,Product use in unapproved indication,DRUG USE FOR UNAPPROVED INDICATION,PRODUCT USE IN UNAPPROVED INDICATION,"MEDICATION ERRORS, PRODUCT USE ERRORS AND ISSUES NEC",MEDICATION ERRORS AND OTHER PRODUCT USE ERRORS AND ISSUES,10022117,10053746,10076476,10053746
1400,"SINCE EXAMS DEMONSTRATED NORMAL HEPATIC FUNCTION, ORAL TREATMENT WAS ALTERED TO TERBINAFINE WITH IMPROVEMENT AFTER 8 WEEKS.",Product use in unapproved indication,DRUG USE FOR UNAPPROVED INDICATION,PRODUCT USE IN UNAPPROVED INDICATION,"MEDICATION ERRORS, PRODUCT USE ERRORS AND ISSUES NEC",MEDICATION ERRORS AND OTHER PRODUCT USE ERRORS AND ISSUES,10022117,10053746,10076476,10053746
1469,CHRONIC GRANULOMATOUS INFLAMMATION IN AORTIC WALL AND LYMPH NODES,granulomatous inflammation,GRANULOMATOUS LYMPHADENITIS,GRANULOMATOUS LYMPHADENITIS,LYMPHATIC SYSTEM DISORDERS NEC,"SPLEEN, LYMPHATIC AND RETICULOENDOTHELIAL SYSTEM DISORDERS",10005329,10078494,10078494,10078494
1471,SPRUE-LIKE ENTEROPATHY,Sprue-like enteropathy,SPRUE-LIKE ENTEROPATHY,SPRUE-LIKE ENTEROPATHY,MALABSORPTION SYNDROMES,MALABSORPTION CONDITIONS,10017947,10079622,10079622,10079622
1534,MULTIPLE ORGAN FAILURE,Multiple organ failure,MULTIPLE ORGAN FAILURE,MULTIPLE ORGAN DYSFUNCTION SYNDROME,GENERAL SIGNS AND SYMPTOMS NEC,GENERAL SYSTEM DISORDERS NEC,10018065,10028237,10077361,10028237
1560,MUCOSAL FIXED DRUG ERUPTION,Fixed eruption,FIXED DRUG ERUPTION,FIXED ERUPTION,DERMATITIS ASCRIBED TO SPECIFIC AGENT,EPIDERMAL AND DERMAL CONDITIONS,10040785,10016740,10016741,10016740
1580,SLEEP DISRUPTION,Non-24-hour sleep-wake disorder,DISRUPTIONS OF 24 HOUR SLEEP-WAKE CYCLE,NON-24-HOUR SLEEP-WAKE DISORDER,DISTURBANCES IN SLEEP PHASE RHYTHM,SLEEP DISTURBANCES (INCL SUBTYPES),10029205,10013419,10078086,10013419
1586,PATIENT WAS UNRESPONSIVE TO BETAMETHASONE VALERATE,Therapy non-responder,THERAPY NON-RESPONDER,THERAPY NON-RESPONDER,THERAPEUTIC AND NONTHERAPEUTIC RESPONSES,THERAPEUTIC AND NONTHERAPEUTIC EFFECTS (EXCL TOXICITY),10018065,10051082,10051082,10051082
1780,HIGH- DOSE PIRACETAM IS EFFECTIVE ON CEREBELLAR ATAXIA,Product use in unapproved indication,DRUG USE FOR UNAPPROVED INDICATION,PRODUCT USE IN UNAPPROVED INDICATION,"MEDICATION ERRORS, PRODUCT USE ERRORS AND ISSUES NEC",MEDICATION ERRORS AND OTHER PRODUCT USE ERRORS AND ISSUES,10022117,10053746,10076476,10053746
1790,ASPIRIN AND CLOPIDOGREL USED FOR TRANSIENT ISCHEMIC ATTACK,Drug use for unapproved indication,DRUG USE FOR UNAPPROVED INDICATION,PRODUCT USE IN UNAPPROVED INDICATION,"MEDICATION ERRORS, PRODUCT USE ERRORS AND ISSUES NEC",MEDICATION ERRORS AND OTHER PRODUCT USE ERRORS AND ISSUES,10022117,10053746,10076476,10053746
1834,THERAPY NON-RESPONDER,Therapy non-responder,THERAPY NON-RESPONDER,THERAPY NON-RESPONDER,THERAPEUTIC AND NONTHERAPEUTIC RESPONSES,THERAPEUTIC AND NONTHERAPEUTIC EFFECTS (EXCL TOXICITY),10018065,10051082,10051082,10051082
1885,HE MET CRITERIA FOR KD AND RECEIVED IVIG AND ASPIRIN,Product use in unapproved indication,DRUG USE FOR UNAPPROVED INDICATION,PRODUCT USE IN UNAPPROVED INDICATION,"MEDICATION ERRORS, PRODUCT USE ERRORS AND ISSUES NEC",MEDICATION ERRORS AND OTHER PRODUCT USE ERRORS AND ISSUES,10022117,10053746,10076476,10053746
1886,PATERNAL EXPOSURE BEFORE PREGNANCY,Paternal exposure before pregnancy,PATERNAL EXPOSURE BEFORE PREGNANCY,PATERNAL EXPOSURE BEFORE PREGNANCY,"EXPOSURES ASSOCIATED WITH PREGNANCY, DELIVERY AND LACTATION","EXPOSURES, CHEMICAL INJURIES AND POISONING",10022117,10080093,10080093,10080093
1911,DRUG USE FOR UNAPPROVED INDICATION,Product use in unapproved indication,DRUG USE FOR UNAPPROVED INDICATION,PRODUCT USE IN UNAPPROVED INDICATION,"MEDICATION ERRORS, PRODUCT USE ERRORS AND ISSUES NEC",MEDICATION ERRORS AND OTHER PRODUCT USE ERRORS AND ISSUES,10022117,10053746,10076476,10053746
1978,MILD DYSMETRIA DUE TO DRUG INTERACTION,dysmetria,DYSMETRIA,DYSMETRIA,COORDINATION AND BALANCE DISTURBANCES,NEUROLOGICAL DISORDERS NEC,10029205,10013936,10013936,10013936
2038,FIXED DRUG ERUPTION,Fixed eruption,FIXED DRUG ERUPTION,FIXED ERUPTION,DERMATITIS ASCRIBED TO SPECIFIC AGENT,EPIDERMAL AND DERMAL CONDITIONS,10040785,10016740,10016741,10016740
2117,LIMBIC ENCEPHALITIS,Limbic encephalitis,LIMBIC ENCEPHALITIS,LIMBIC ENCEPHALITIS,ENCEPHALITIS NEC,CENTRAL NERVOUS SYSTEM INFECTIONS AND INFLAMMATIONS,10029205,10078012,10078012,10078012
2242,PRODUCT USE IN UNAPPROVED INDICATION,Product use in unapproved indication,DRUG USE FOR UNAPPROVED INDICATION,PRODUCT USE IN UNAPPROVED INDICATION,"MEDICATION ERRORS, PRODUCT USE ERRORS AND ISSUES NEC",MEDICATION ERRORS AND OTHER PRODUCT USE ERRORS AND ISSUES,10022117,10053746,10076476,10053746
2253,HYPERLEUKOCYTOSIS PROGRESSION,Hyperleukocytosis,HYPERLEUKOCYTOSIS,HYPERLEUKOCYTOSIS,LEUKOCYTOSES NEC,WHITE BLOOD CELL DISORDERS,10005329,10078862,10078862,10078862
2269,APPARENT MINERALOCORTICOID EXCESS,Apparent mineralocorticoid excess,APPARENT MINERALOCORTICOID EXCESS,APPARENT MINERALOCORTICOID EXCESS,ENDOCRINE DISORDERS CONGENITAL NEC,ENDOCRINE DISORDERS CONGENITAL,10010331,10080229,10080229,10080229
2323,TREATMENT WITH TRADITIONAL NEURO-STIMULANTS RESULTED IN MINIMAL CHANGE. HE WAS STARTED ON ZOLPIDEM 3 MONTHS AFTER INJURY.,Product use in unapproved indication,DRUG USE FOR UNAPPROVED INDICATION,PRODUCT USE IN UNAPPROVED INDICATION,"MEDICATION ERRORS, PRODUCT USE ERRORS AND ISSUES NEC",MEDICATION ERRORS AND OTHER PRODUCT USE ERRORS AND ISSUES,10022117,10053746,10076476,10053746
2324,DRUG CROSS-REACTIVITY,Therapeutic product cross-reactivity,DRUG CROSS-REACTIVITY,THERAPEUTIC PRODUCT CROSS-REACTIVITY,"ALLERGIES TO FOODS, FOOD ADDITIVES, DRUGS AND OTHER CHEMICALS",ALLERGIC CONDITIONS,10021428,10076743,10079645,10076743
2406,"HEPARIN (TARGET APTT 1.5 TIMES) AND WARFARIN (TARGET INR 2-3) WERE USED IN COMBINATION; HOWEVER, SINCE THE THROMBUS INCREASED",Therapy non-responder,NO THERAPEUTIC RESPONSE,THERAPY NON-RESPONDER,THERAPEUTIC AND NONTHERAPEUTIC RESPONSES,THERAPEUTIC AND NONTHERAPEUTIC EFFECTS (EXCL TOXICITY),10018065,10063670,10051082,10063670
2433,"INFLAMMATORY CELL INFILTRATION AROUND MUSCLE FIBER, AND MINIMAL CELL INFILTRATION IN MUSCLE FIBER. NEUTROPHILS WERE PREDOMINANT CELL TYPE(PERIMYSIAL AND ENDOMYSIAL INFILTRATION OF NEUTROPHILS)",Tissue infiltration,TISSUE INFILTRATION,TISSUE INFILTRATION,GENERAL SIGNS AND SYMPTOMS NEC,GENERAL SYSTEM DISORDERS NEC,10018065,10080901,10080901,10080901
2443,PATIENT RECEIVED SUCCESSFUL TREATMENT WITH GABAPENTIN AND PREGABALIN FOR CHRONIC FATIGUE,Drug effective for unapproved indication,DRUG EFFECTIVE FOR UNAPPROVED INDICATION,DRUG EFFECTIVE FOR UNAPPROVED INDICATION,THERAPEUTIC AND NONTHERAPEUTIC RESPONSES,THERAPEUTIC AND NONTHERAPEUTIC EFFECTS (EXCL TOXICITY),10018065,10079317,10079317,10079317
2596,ATYPICAL HEMOLYTIC UREMIC SYNDROME FOLLOWING RENAL FAILURE,atypical hemolytic uremic syndrome,ATYPICAL HEMOLYTIC UREMIC SYNDROME,ATYPICAL HAEMOLYTIC URAEMIC SYNDROME,ANAEMIAS HAEMOLYTIC MECHANICAL FACTOR,HAEMOLYSES AND RELATED CONDITIONS,10005329,10079841,10079840,10079841
2601,WAS ALTERED TO TERBINAFINE WITH IMPROVEMENT AFTER 8 WEEKS.,Drug effective for unapproved indication,DRUG EFFECTIVE FOR UNAPPROVED INDICATION,DRUG EFFECTIVE FOR UNAPPROVED INDICATION,THERAPEUTIC AND NONTHERAPEUTIC RESPONSES,THERAPEUTIC AND NONTHERAPEUTIC EFFECTS (EXCL TOXICITY),10018065,10079317,10079317,10079317
2700,DILATATION OF RIGHT VENTRICLE DUE TO PULMONARY HYPERTENSION,Right ventricular dilatation,RIGHT VENTRICULAR DILATATION,RIGHT VENTRICULAR DILATATION,MYOCARDIAL DISORDERS NEC,MYOCARDIAL DISORDERS,10007541,10074222,10074222,10074222
2777,MYCOPHENOLATE MOFETIL USED FOR TREATMENT OF GENERALIZED MYASTHENIA GRAVIS,Product use in unapproved indication,PRODUCT USE IN UNAPPROVED INDICATION,PRODUCT USE IN UNAPPROVED INDICATION,"MEDICATION ERRORS, PRODUCT USE ERRORS AND ISSUES NEC",MEDICATION ERRORS AND OTHER PRODUCT USE ERRORS AND ISSUES,10022117,10076476,10076476,10076476
2809,CONTROL OF SPASMS AND DYSAUTONOMIA WAS VERY DIFFICULT IN THE FIRST PATIENT EVEN FOLLOWING PHENOBARBITONE AND THIOPENTAL,Therapy non-responder,NO THERAPEUTIC RESPONSE,THERAPY NON-RESPONDER,THERAPEUTIC AND NONTHERAPEUTIC RESPONSES,THERAPEUTIC AND NONTHERAPEUTIC EFFECTS (EXCL TOXICITY),10018065,10063670,10051082,10063670
2815,CONTRAINDICATED DRUG ADMINISTERED,Contraindicated drug administered,CONTRAINDICATED DRUG ADMINISTERED,CONTRAINDICATED PRODUCT ADMINISTERED,PRODUCT ADMINISTRATION ERRORS AND ISSUES,MEDICATION ERRORS AND OTHER PRODUCT USE ERRORS AND ISSUES,10022117,10074899,10078504,10074899
2827,TRANSDERMAL PATCH AND MINIPILL PRESCRIBED FOR CYCLIC IRREGULARITY,transdermal patch and minipill prescribed for cyclic irregularity,DRUG USE FOR UNAPPROVED INDICATION,PRODUCT USE IN UNAPPROVED INDICATION,"MEDICATION ERRORS, PRODUCT USE ERRORS AND ISSUES NEC",MEDICATION ERRORS AND OTHER PRODUCT USE ERRORS AND ISSUES,10022117,10053746,10076476,10053746
2830,METHOTREXATE WAS USED FOR GVHD PROPHYLAXIS (DRUG USED FOR UNAPPROVED INDICATION),drug use for unapproved indication,DRUG USE FOR UNAPPROVED INDICATION,PRODUCT USE IN UNAPPROVED INDICATION,"MEDICATION ERRORS, PRODUCT USE ERRORS AND ISSUES NEC",MEDICATION ERRORS AND OTHER PRODUCT USE ERRORS AND ISSUES,10022117,10053746,10076476,10053746
2842,CROSS-REACTION TO DEXAMETHASONE AND SOLU-DECORTIN H,Therapeutic product cross-reactivity,DRUG CROSS-REACTIVITY,THERAPEUTIC PRODUCT CROSS-REACTIVITY,"ALLERGIES TO FOODS, FOOD ADDITIVES, DRUGS AND OTHER CHEMICALS",ALLERGIC CONDITIONS,10021428,10076743,10079645,10076743
2870,GROWTH VELOCITY OF THE GIRL SHOWED A BREAK WHEN SHE STARTED IMATINIB,Growth failure,GROWTH FAILURE,GROWTH FAILURE,MUSCULOSKELETAL AND CONNECTIVE TISSUE CONDITIONS NEC,MUSCULOSKELETAL AND CONNECTIVE TISSUE DISORDERS NEC,10028395,10071095,10071095,10071095
2922,HIV VIREMIA,HIV viremia,HIV VIREMIA,HIV VIRAEMIA,RETROVIRAL INFECTIONS,VIRAL INFECTIOUS DISORDERS,10021881,10077718,10077716,10077718
2958,DIED OF HYPODYNAMIC SEPTIC SHOCK REFRACTORY TO THE TREATMENT (LINEZOLID),Therapy non-responder,NO THERAPEUTIC RESPONSE,THERAPY NON-RESPONDER,THERAPEUTIC AND NONTHERAPEUTIC RESPONSES,THERAPEUTIC AND NONTHERAPEUTIC EFFECTS (EXCL TOXICITY),10018065,10063670,10051082,10063670
2975,MULTI ORGAN FAILURE,multi organ failure,MULTI ORGAN FAILURE,MULTIPLE ORGAN DYSFUNCTION SYNDROME,GENERAL SIGNS AND SYMPTOMS NEC,GENERAL SYSTEM DISORDERS NEC,10018065,10028151,10077361,10028151
3015,MULTIORGAN FAILURE FOLLOWING POST-LT MYCOTIC ANEURYSM OF THE HEPATIC ARTERY,multiorgan failure,MULTIORGAN FAILURE,MULTIPLE ORGAN DYSFUNCTION SYNDROME,GENERAL SIGNS AND SYMPTOMS NEC,GENERAL SYSTEM DISORDERS NEC,10018065,10028162,10077361,10028162
3025,MULTI ORGAN FAILURE,Multiple organ dysfunction syndrome,MULTI ORGAN FAILURE,MULTIPLE ORGAN DYSFUNCTION SYNDROME,GENERAL SIGNS AND SYMPTOMS NEC,GENERAL SYSTEM DISORDERS NEC,10018065,10028154,10077361,10028151
3075,"FLARE UP  OF ADULT ONSET STILL'S DISEASE DUE TO LACK OF DRUG EFFECT OF PREDNISOLONE, METHYLPREDNISOLONE AND AZATHIOPRINE",Still's disease adult onset,STILL'S DISEASE ADULT ONSET,STILL'S DISEASE,RHEUMATOID ARTHROPATHIES,JOINT DISORDERS,10028395,10064056,10042061,10064056
3176,GRADE II ISCHAEMIC MITRAL REGURGITATION,ischaemic mitral regurgitation,ISCHAEMIC MITRAL REGURGITATION,ISCHAEMIC MITRAL REGURGITATION,MITRAL VALVULAR DISORDERS,CARDIAC VALVE DISORDERS,10007541,10077864,10077864,10077864
3178,MULTI-ORGAN FAILURE,Multiple organ dysfunction syndrome,MULTI-ORGAN FAILURE,MULTIPLE ORGAN DYSFUNCTION SYNDROME,GENERAL SIGNS AND SYMPTOMS NEC,GENERAL SYSTEM DISORDERS NEC,10018065,10028154,10077361,10028154
3273,MULTIORGAN FAILURE DUE TO SEPTIC SHOCK FOLLOWING SEPSIS,Multiple organ dysfunction syndrome,MULTIORGAN FAILURE,MULTIPLE ORGAN DYSFUNCTION SYNDROME,GENERAL SIGNS AND SYMPTOMS NEC,GENERAL SYSTEM DISORDERS NEC,10018065,10028154,10077361,10028162
3294,MINOCYCLINE-INDUCED PSEUDOTUMOR CEREBRI,Idiopathic intracranial hypertension,PSEUDOTUMOR CEREBRI,IDIOPATHIC INTRACRANIAL HYPERTENSION,INCREASED INTRACRANIAL PRESSURE DISORDERS,INCREASED INTRACRANIAL PRESSURE AND HYDROCEPHALUS,10029205,10073807,10078904,10037149
3321,RELAPSE OF ADULT ONSET STILL'S DISEASE FOLLOWING REBOUND EFFECT OF PREDNISONE,Still's disease,ADULT ONSET STILL'S DISEASE,STILL'S DISEASE,RHEUMATOID ARTHROPATHIES,JOINT DISORDERS,10028395,10079456,10042061,10079456
3356,GREAT IMPROVEMENT OF STIFFNESS WITH FLECAINIDE,Drug effective for unapproved indication,DRUG EFFECTIVE FOR UNAPPROVED INDICATION,DRUG EFFECTIVE FOR UNAPPROVED INDICATION,THERAPEUTIC AND NONTHERAPEUTIC RESPONSES,THERAPEUTIC AND NONTHERAPEUTIC EFFECTS (EXCL TOXICITY),10018065,10079317,10079317,10079317
3382,MULTI ORGAN FAILURE,Multiple organ dysfunction syndrome,MULTI ORGAN FAILURE,MULTIPLE ORGAN DYSFUNCTION SYNDROME,GENERAL SIGNS AND SYMPTOMS NEC,GENERAL SYSTEM DISORDERS NEC,10018065,10028154,10077361,10028151
3386,IBUPROFEN AND NIMESULIDE USED FOR ANKYLOSING SPONDYLITIS,product use in unapproved indication,DRUG USE FOR UNAPPROVED INDICATION,PRODUCT USE IN UNAPPROVED INDICATION,"MEDICATION ERRORS, PRODUCT USE ERRORS AND ISSUES NEC",MEDICATION ERRORS AND OTHER PRODUCT USE ERRORS AND ISSUES,10022117,10053746,10076476,10053746
3461,EXCESSIVE DAYTIME SEDATION,Sedation excessive,SEDATION EXCESSIVE,SEDATION COMPLICATION,ANAESTHETIC AND ALLIED PROCEDURAL COMPLICATIONS,PROCEDURAL RELATED INJURIES AND COMPLICATIONS NEC,10022117,10039898,10079741,10039898
3492,MULTI ORGAN FAILURE FOLLOWING SEPTIC SHOCK,Multi organ failure,MULTI ORGAN FAILURE,MULTIPLE ORGAN DYSFUNCTION SYNDROME,GENERAL SIGNS AND SYMPTOMS NEC,GENERAL SYSTEM DISORDERS NEC,10018065,10028151,10077361,10028151
